topic,url,predicted_class,predicted_scores
Taylor Hawkins,https://en.wikipedia.org/wiki/Taylor_Hawkins,GA,"{'B': 0.11539608191927074, 'C': 0.04102266122999921, 'FA': 0.15540747668986662, 'GA': 0.673227842079754, 'Start': 0.010971018160521115, 'Stub': 0.003974919920588248}"
"Lahaina, Hawaii","https://en.wikipedia.org/wiki/Lahaina,_Hawaii",GA,"{'B': 0.11846408314502671, 'C': 0.06684056778921954, 'FA': 0.26013613609617614, 'GA': 0.5395440340711896, 'Start': 0.010931956665203345, 'Stub': 0.00408322223318461}"
2022 AFL Grand Final,https://en.wikipedia.org/wiki/2022_AFL_Grand_Final,GA,"{'B': 0.08227887885636471, 'C': 0.02338926358770474, 'FA': 0.4180130324636069, 'GA': 0.46482241565528515, 'Start': 0.008355758039805988, 'Stub': 0.003140651397232485}"
Hurricane Hilary,https://en.wikipedia.org/wiki/Hurricane_Hilary,GA,"{'B': 0.07314813697545597, 'C': 0.036077399902118994, 'FA': 0.3561888048939224, 'GA': 0.5207377325303542, 'Start': 0.009850958591988434, 'Stub': 0.0039969671061602366}"
Typhoon Hinnamnor,https://en.wikipedia.org/wiki/Typhoon_Hinnamnor,GA,"{'B': 0.09500468119966222, 'C': 0.04424633613541418, 'FA': 0.2674330306148623, 'GA': 0.578825852901648, 'Start': 0.010352461363153282, 'Stub': 0.004137637785259956}"
Dancing with the Stars (American season 31),https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_31),GA,"{'B': 0.3262813787616665, 'C': 0.23197044632344146, 'FA': 0.0758475772850201, 'GA': 0.33861525860082814, 'Start': 0.020521999955293944, 'Stub': 0.006763339073749846}"
Liga 1 (Indonesia),https://en.wikipedia.org/wiki/Liga_1_(Indonesia),GA,"{'B': 0.1305089757071672, 'C': 0.09221700347180804, 'FA': 0.21260810778258976, 'GA': 0.5369722770344048, 'Start': 0.021783864027665602, 'Stub': 0.00590977197636459}"
Miss Grand International 2022,https://en.wikipedia.org/wiki/Miss_Grand_International_2022,GA,"{'B': 0.1394159478049062, 'C': 0.03735105775454063, 'FA': 0.07811722631012863, 'GA': 0.727673289081746, 'Start': 0.012659349563956196, 'Stub': 0.004783129484722508}"
2022 Crimean Bridge explosion,https://en.wikipedia.org/wiki/2022_Crimean_Bridge_explosion,GA,"{'B': 0.09192487582957354, 'C': 0.033320712555603885, 'FA': 0.2637698769363065, 'GA': 0.5974037963427162, 'Start': 0.009766100492539686, 'Stub': 0.0038146378432602087}"
Sardar (2022 film),https://en.wikipedia.org/wiki/Sardar_(2022_film),GA,"{'B': 0.15871378853219237, 'C': 0.16826552099778325, 'FA': 0.11287859359808501, 'GA': 0.5428253123823522, 'Start': 0.012795357209396343, 'Stub': 0.0045214272801910186}"
2022 West Java earthquake,https://en.wikipedia.org/wiki/2022_West_Java_earthquake,GA,"{'B': 0.07592294211606161, 'C': 0.034259939677134636, 'FA': 0.3579228835276762, 'GA': 0.5193814303629303, 'Start': 0.008988852426711514, 'Stub': 0.0035239518894857893}"
2023 Odisha train collision,https://en.wikipedia.org/wiki/2023_Odisha_train_collision,GA,"{'B': 0.05940549886450579, 'C': 0.029285447163757056, 'FA': 0.3832576817795641, 'GA': 0.5172089483058658, 'Start': 0.007796038269559524, 'Stub': 0.003046385616747811}"
Music written in all major and/or minor keys,https://en.wikipedia.org/wiki/Music_written_in_all_major_and/or_minor_keys,B,"{'B': 0.48369094530643225, 'C': 0.09550340903072038, 'FA': 0.157779693969467, 'GA': 0.2459720220757245, 'Start': 0.012342928354275227, 'Stub': 0.004711001263380591}"
Speak Now (Taylor's Version),https://en.wikipedia.org/wiki/Speak_Now_(Taylor's_Version),GA,"{'B': 0.08242877420886288, 'C': 0.02684348441401414, 'FA': 0.18405483031062153, 'GA': 0.6945573098598941, 'Start': 0.008790532458303081, 'Stub': 0.0033250687483041587}"
LK-99,https://en.wikipedia.org/wiki/LK-99,GA,"{'B': 0.25757359740522706, 'C': 0.08488906398599481, 'FA': 0.11238952611138704, 'GA': 0.5144601615635837, 'Start': 0.023693671774419344, 'Stub': 0.006993979159388254}"
2023 Wagner Group plane crash,https://en.wikipedia.org/wiki/2023_Wagner_Group_plane_crash,GA,"{'B': 0.057250950827555554, 'C': 0.02558690017028233, 'FA': 0.3959669432767829, 'GA': 0.5101274037833387, 'Start': 0.007981379132269838, 'Stub': 0.003086422809770866}"
